id,data ,idcliente,idfun
1,2018-04-07,29,14
2,2020-09-11,56,48
3,2020-10-19,89,47
4,2020-12-14,32,21
5,2017-07-09,7,17
6,2019-12-22,63,44
7,2017-12-10,96,34
8,2020-02-11,32,30
9,2018-11-03,22,5
10,2020-10-24,74,27
11,2020-07-21,5,19
12,2020-11-25,86,4
13,2019-03-15,90,19
14,2021-07-30,10,11
15,2020-05-14,83,27
16,2019-02-08,96,41
17,2019-03-20,7,21
18,2019-12-16,70,14
19,2019-01-24,11,22
20,2017-08-17,93,20
21,2017-09-03,84,5
22,2018-09-14,18,31
23,2020-05-23,49,44
24,2019-11-10,78,14
25,2020-05-29,33,42
26,2019-06-21,3,28
27,2021-06-29,77,21
28,2018-02-03,23,4
29,2018-04-06,9,8
30,2017-08-11,72,11
31,2017-07-12,29,1
32,2020-03-07,62,1
33,2021-09-02,60,49
34,2017-11-17,19,23
35,2017-11-23,31,8
36,2020-03-16,52,46
37,2018-12-19,22,7
38,2017-08-11,55,17
39,2021-10-23,32,28
40,2021-08-31,73,49
41,2018-12-29,25,7
42,2020-12-17,17,30
43,2019-10-21,80,42
44,2017-08-14,100,40
45,2020-09-14,52,19
46,2020-05-21,100,21
47,2019-11-07,31,17
48,2019-06-26,52,31
49,2021-04-05,3,27
50,2020-06-16,54,37
51,2019-12-14,78,16
52,2018-02-06,49,7
53,2018-08-03,22,4
54,2021-05-02,10,48
55,2021-06-07,48,48
56,2019-05-28,50,33
57,2020-12-26,41,46
58,2018-10-07,28,14
59,2021-04-23,20,49
60,2018-08-22,42,27
61,2017-08-24,73,2
62,2018-11-20,11,42
63,2021-02-06,57,7
64,2019-04-28,10,37
65,2021-07-10,5,19
66,2018-09-26,90,39
67,2018-09-18,62,24
68,2018-05-12,96,45
69,2018-08-13,23,8
70,2021-04-28,54,31
71,2021-10-22,84,29
72,2017-07-28,19,20
73,2019-04-17,57,47
74,2017-08-17,1,11
75,2019-01-28,9,14
76,2019-06-07,73,42
77,2017-12-21,57,48
78,2018-03-31,56,45
79,2020-09-20,41,41
80,2020-04-08,67,27
81,2021-03-27,92,17
82,2020-08-05,35,50
83,2020-10-09,76,14
84,2019-01-21,94,38
85,2020-06-07,16,49
86,2018-03-11,70,25
87,2018-07-27,45,47
88,2017-12-19,25,14
89,2021-09-20,17,49
90,2021-08-16,19,27
91,2020-01-30,74,14
92,2020-01-17,7,19
93,2021-01-16,65,43
94,2017-11-29,22,13
95,2021-09-18,38,29
96,2019-01-12,54,11
97,2018-10-06,9,40
98,2019-09-28,14,6
99,2019-01-20,93,27
100,2017-07-12,36,11
101,2018-05-28,74,20
102,2018-11-10,73,4
103,2018-03-10,34,44
104,2018-11-29,63,7
105,2019-09-10,19,5
106,2020-08-16,28,8
107,2017-10-28,48,34
108,2018-03-27,47,23
109,2018-03-08,38,8
110,2019-10-24,37,50
111,2017-09-02,37,9
112,2021-04-27,65,38
113,2018-04-06,100,22
114,2020-05-21,8,24
115,2020-10-30,73,33
116,2021-05-03,100,15
117,2021-09-04,82,20
118,2017-11-29,88,24
119,2018-10-25,78,24
120,2018-04-06,46,29
121,2018-12-21,46,42
122,2017-11-08,82,5
123,2021-06-10,82,36
124,2020-02-04,5,12
125,2020-08-09,84,34
126,2021-02-03,28,44
127,2020-08-16,11,25
128,2019-12-25,66,16
129,2018-11-15,68,40
130,2020-10-18,83,14
131,2017-08-19,51,23
132,2021-07-29,98,12
133,2017-11-24,74,13
134,2018-06-15,36,3
135,2018-12-25,65,26
136,2020-12-09,64,35
137,2021-07-17,89,22
138,2017-07-12,28,41
139,2021-10-11,41,48
140,2020-01-21,6,17
141,2018-02-24,40,20
142,2019-01-31,73,26
143,2021-07-24,72,37
144,2019-01-19,94,39
145,2018-09-30,60,29
146,2018-05-13,6,40
147,2019-05-13,6,25
148,2018-05-08,83,13
149,2017-08-23,4,40
150,2018-08-24,18,48
151,2018-09-10,57,7
152,2018-11-05,99,8
153,2020-09-27,21,16
154,2019-10-05,42,17
155,2020-12-05,51,3
156,2018-10-04,90,30
157,2019-06-22,55,29
158,2021-07-31,33,41
159,2017-10-19,92,20
160,2019-10-07,22,25
161,2019-12-20,25,17
162,2019-09-20,77,20
163,2021-05-16,84,38
164,2018-04-18,72,18
165,2020-05-04,40,37
166,2018-03-30,30,29
167,2021-05-30,83,17
168,2018-07-08,30,26
169,2019-01-04,31,10
170,2020-09-11,38,31
171,2017-10-15,37,16
172,2020-03-19,81,15
173,2019-04-03,57,6
174,2020-10-06,88,43
175,2020-10-27,94,9
176,2018-02-23,96,20
177,2019-03-08,7,12
178,2017-10-31,80,34
179,2018-10-26,5,18
180,2021-01-28,57,10
181,2017-10-27,69,39
182,2019-11-23,55,17
183,2021-03-16,42,21
184,2018-07-12,21,10
185,2020-06-10,23,31
186,2021-10-10,90,36
187,2018-06-28,14,21
188,2019-11-22,48,34
189,2018-08-08,34,14
190,2018-09-05,52,30
191,2019-04-16,34,12
192,2018-03-13,69,10
193,2019-10-28,64,11
194,2019-02-27,45,25
195,2018-03-16,83,33
196,2021-08-09,22,45
197,2021-01-27,58,9
198,2021-04-02,20,1
199,2018-02-17,22,14
200,2019-12-01,39,6
201,2018-02-24,69,5
202,2017-10-26,72,17
203,2019-01-25,92,50
204,2020-12-26,47,24
205,2020-11-16,8,24
206,2021-05-31,58,47
207,2021-10-01,49,18
208,2019-12-20,32,7
209,2020-02-29,56,44
210,2018-01-28,76,19
211,2020-01-27,38,5
212,2019-01-02,79,39
213,2020-12-18,17,50
214,2018-11-11,27,9
215,2019-11-10,7,19
216,2019-06-26,47,41
217,2019-06-15,24,39
218,2020-08-04,21,42
219,2019-08-25,94,5
220,2020-09-04,93,33
221,2017-07-22,94,44
222,2021-05-03,79,22
223,2021-09-11,44,10
224,2018-06-27,49,32
225,2018-12-05,84,35
226,2021-02-22,72,30
227,2017-12-29,84,8
228,2021-06-24,4,17
229,2020-07-15,46,16
230,2019-02-04,50,34
231,2020-12-01,85,35
232,2019-04-01,47,12
233,2017-09-01,1,28
234,2019-04-17,57,9
235,2019-03-18,70,5
236,2020-01-06,35,23
237,2018-08-15,92,43
238,2021-10-09,59,3
239,2021-09-19,57,6
240,2020-03-27,60,40
241,2018-07-27,89,25
242,2019-09-18,38,28
243,2020-11-24,47,3
244,2017-08-08,27,25
245,2018-05-25,55,27
246,2020-05-22,76,2
247,2021-05-30,64,34
248,2020-08-17,49,31
249,2018-06-23,47,48
250,2018-11-01,23,49
251,2020-11-05,91,48
252,2018-09-01,4,23
253,2019-03-14,51,22
254,2018-11-15,57,8
255,2017-07-25,28,12
256,2021-05-07,45,5
257,2021-04-02,72,30
258,2021-02-07,48,34
259,2017-11-02,11,3
260,2020-05-17,73,16
261,2019-03-20,83,11
262,2021-04-15,4,15
263,2020-12-05,66,15
264,2018-03-17,18,42
265,2017-12-22,68,34
266,2019-11-06,45,23
267,2021-09-30,43,44
268,2020-08-02,83,49
269,2021-10-21,83,35
270,2020-12-25,30,32
271,2019-10-29,18,27
272,2019-06-16,42,41
273,2021-03-19,35,27
274,2021-10-18,4,8
275,2018-02-26,83,43
276,2018-08-23,86,25
277,2018-06-09,30,36
278,2018-04-30,2,28
279,2019-01-18,3,7
280,2017-11-09,9,27
281,2018-05-05,12,27
282,2017-12-15,94,19
283,2019-09-08,47,36
284,2021-07-02,18,45
285,2020-06-11,80,17
286,2020-08-26,80,30
287,2017-12-19,15,24
288,2018-10-23,6,8
289,2019-02-09,63,37
290,2020-03-28,40,20
291,2017-11-22,60,4
292,2019-02-05,36,23
293,2020-01-05,22,3
294,2017-11-21,28,39
295,2018-11-07,15,46
296,2018-06-16,55,49
297,2019-05-27,48,18
298,2019-07-08,49,18
299,2020-10-01,16,3
300,2019-10-26,81,21
301,2020-12-06,59,40
302,2018-03-30,19,30
303,2019-05-21,9,44
304,2019-12-14,82,40
305,2019-05-09,24,4
306,2020-10-25,6,1
307,2019-06-27,95,25
308,2019-03-02,38,44
309,2020-08-22,4,4
310,2018-06-08,13,4
311,2020-02-28,4,40
312,2020-01-16,83,43
313,2020-05-25,15,32
314,2018-09-27,5,23
315,2020-12-03,40,46
316,2021-03-07,23,9
317,2018-03-11,2,45
318,2019-10-12,55,12
319,2020-03-23,87,33
320,2018-05-12,3,38
321,2019-09-16,32,22
322,2021-10-23,57,4
323,2021-07-21,62,46
324,2017-09-26,29,12
325,2020-02-15,64,18
326,2021-04-19,41,18
327,2019-03-22,98,30
328,2017-09-17,12,21
329,2021-03-07,20,22
330,2021-10-14,11,11
331,2019-11-07,32,33
332,2017-11-01,23,37
333,2020-09-13,60,10
334,2019-12-12,52,2
335,2021-06-20,76,14
336,2020-08-25,72,21
337,2018-06-08,1,36
338,2020-02-19,17,26
339,2018-03-31,51,35
340,2018-08-22,30,21
341,2017-07-14,21,7
342,2020-04-03,36,18
343,2018-09-17,50,1
344,2021-03-29,58,29
345,2020-12-21,93,4
346,2018-06-23,13,48
347,2019-05-12,57,42
348,2020-09-16,64,49
349,2020-02-08,60,2
350,2019-09-03,96,38
351,2021-07-29,63,39
352,2021-03-28,80,29
353,2018-04-16,17,33
354,2021-08-22,60,27
355,2021-01-02,34,35
356,2021-01-01,63,43
357,2021-06-25,75,21
358,2018-07-15,62,38
359,2018-11-07,77,48
360,2019-01-10,61,39
361,2020-04-07,23,1
362,2020-10-13,87,8
363,2020-09-21,19,35
364,2018-11-24,28,10
365,2018-09-07,38,44
366,2019-10-25,5,13
367,2017-10-18,34,22
368,2017-08-08,36,42
369,2020-12-19,49,14
370,2019-11-22,4,26
371,2018-09-25,41,28
372,2019-05-22,54,46
373,2019-12-17,46,30
374,2019-11-18,93,44
375,2017-11-07,96,33
376,2019-05-22,67,14
377,2018-02-02,93,34
378,2019-08-28,27,24
379,2021-02-22,91,13
380,2018-06-02,17,2
381,2019-08-04,65,41
382,2020-05-21,79,28
383,2018-10-08,89,44
384,2021-04-27,85,17
385,2019-05-04,28,14
386,2021-01-17,50,49
387,2017-12-27,75,42
388,2018-07-25,41,9
389,2021-08-10,30,17
390,2017-10-22,28,11
391,2018-01-30,6,36
392,2017-11-26,59,29
393,2018-10-10,77,26
394,2017-09-23,57,27
395,2021-03-29,69,22
396,2020-11-20,61,47
397,2020-08-14,12,19
398,2021-03-12,11,14
399,2019-11-11,51,49
400,2019-08-27,43,44
401,2018-11-20,38,33
402,2021-02-28,5,45
403,2020-11-14,71,9
404,2018-03-03,90,45
405,2019-11-23,47,16
406,2019-09-24,100,13
407,2019-01-12,50,42
408,2017-07-25,63,38
409,2019-11-22,80,35
410,2019-10-20,63,12
411,2020-09-03,23,19
412,2020-02-21,36,23
413,2018-09-01,55,5
414,2019-08-08,52,18
415,2021-05-02,85,41
416,2017-07-19,67,48
417,2020-06-15,75,16
418,2018-03-08,34,45
419,2019-12-27,87,13
420,2018-11-11,1,22
421,2019-12-14,15,30
422,2019-07-13,19,28
423,2017-12-18,70,40
424,2019-07-22,56,11
425,2021-07-19,93,14
426,2020-08-04,39,44
427,2018-11-07,15,45
428,2020-03-07,81,5
429,2017-12-25,24,15
430,2020-04-05,64,29
431,2018-07-20,100,6
432,2017-11-20,15,9
433,2019-02-08,22,20
434,2017-08-13,8,6
435,2018-01-19,60,3
436,2018-01-09,90,3
437,2019-05-07,95,8
438,2018-03-31,97,17
439,2019-06-12,88,6
440,2021-03-26,41,41
441,2018-01-09,46,33
442,2021-01-10,77,35
443,2020-12-15,5,6
444,2017-08-27,14,4
445,2019-06-22,59,25
446,2019-08-18,24,50
447,2019-09-08,82,5
448,2020-07-29,89,14
449,2019-06-03,51,9
450,2020-11-01,35,8
451,2018-04-17,45,41
452,2019-05-03,18,37
453,2019-12-26,100,24
454,2019-06-30,7,45
455,2021-01-10,74,45
456,2019-08-08,44,25
457,2018-11-09,79,44
458,2018-12-14,9,19
459,2018-07-09,73,20
460,2020-02-20,20,9
461,2020-01-08,81,3
462,2020-08-27,65,1
463,2021-02-16,17,43
464,2018-11-11,95,7
465,2017-11-25,33,30
466,2020-02-02,18,47
467,2020-08-17,67,20
468,2018-12-09,24,26
469,2020-04-01,74,26
470,2021-03-16,98,50
471,2020-02-14,47,25
472,2020-11-06,75,29
473,2019-01-27,41,20
474,2018-11-19,38,6
475,2017-12-17,90,49
476,2019-11-10,63,35
477,2019-12-12,7,5
478,2020-09-26,32,20
479,2021-08-01,77,20
480,2018-10-08,24,6
481,2018-05-19,72,24
482,2020-05-22,17,45
483,2019-06-13,87,28
484,2021-08-05,12,8
485,2017-12-04,57,12
486,2018-06-14,63,34
487,2019-02-05,64,10
488,2018-01-31,31,23
489,2017-12-16,4,48
490,2018-10-01,39,35
491,2021-10-15,23,13
492,2020-11-01,64,33
493,2020-10-22,19,48
494,2018-04-16,79,17
495,2018-02-21,93,29
496,2020-04-30,51,18
497,2019-06-29,66,17
498,2020-07-19,98,33
499,2020-10-26,18,33
500,2020-08-20,59,23
501,2020-06-12,54,1
502,2018-05-21,87,31
503,2020-08-21,57,26
504,2019-05-29,26,30
505,2018-08-29,47,15
506,2019-09-08,33,46
507,2018-02-21,18,27
508,2018-03-17,11,30
509,2019-11-05,39,16
510,2020-06-11,9,35
511,2021-07-22,85,1
512,2020-09-19,29,3
513,2020-10-28,66,47
514,2021-04-02,1,11
515,2019-09-18,16,29
516,2021-04-05,29,34
517,2019-10-06,17,33
518,2017-07-10,34,32
519,2018-09-14,47,44
520,2017-07-10,37,32
521,2019-08-09,35,41
522,2019-08-11,5,3
523,2018-10-29,94,11
524,2018-10-23,61,17
525,2021-10-12,13,17
526,2019-06-15,70,43
527,2019-08-20,13,9
528,2020-11-11,39,45
529,2021-06-22,18,48
530,2019-01-01,39,22
531,2018-02-21,79,33
532,2020-12-08,61,22
533,2020-03-26,19,29
534,2018-08-28,29,13
535,2019-12-25,58,11
536,2020-10-23,89,11
537,2019-12-28,53,13
538,2018-07-22,15,5
539,2020-10-20,79,39
540,2021-06-14,91,12
541,2018-09-03,64,9
542,2020-08-08,30,22
543,2018-10-18,88,6
544,2019-09-25,65,38
545,2020-06-26,41,33
546,2017-09-26,58,9
547,2018-05-26,36,44
548,2019-04-13,7,45
549,2020-01-23,48,48
550,2020-11-29,18,43
551,2020-06-01,41,18
552,2018-08-23,49,44
553,2020-09-09,34,3
554,2020-06-20,94,47
555,2017-09-01,87,37
556,2020-01-03,83,7
557,2019-08-18,9,9
558,2019-01-09,91,24
559,2018-03-02,84,7
560,2019-06-30,100,48
561,2017-08-06,100,28
562,2019-07-23,91,34
563,2018-06-15,91,7
564,2018-06-01,23,4
565,2020-08-10,23,13
566,2021-07-20,65,3
567,2019-01-12,16,17
568,2017-09-02,13,36
569,2020-11-16,53,19
570,2020-12-29,5,21
571,2017-07-18,25,30
572,2020-10-15,73,2
573,2020-08-03,84,29
574,2021-01-31,32,40
575,2021-05-26,89,1
576,2018-01-28,89,42
577,2019-10-05,72,26
578,2018-11-16,81,35
579,2020-09-02,34,2
580,2021-01-10,46,2
581,2019-03-19,67,28
582,2020-11-09,17,49
583,2021-02-01,4,29
584,2021-09-12,83,10
585,2019-11-18,38,30
586,2020-01-08,50,24
587,2020-02-09,32,6
588,2019-01-09,95,30
589,2019-10-01,19,29
590,2021-04-05,58,7
591,2018-05-10,12,21
592,2018-01-10,86,14
593,2018-01-29,24,35
594,2018-03-19,48,33
595,2018-04-10,87,42
596,2020-05-31,7,26
597,2018-11-11,86,13
598,2019-08-04,14,32
599,2020-10-03,82,29
600,2021-08-08,5,41
601,2019-01-08,14,5
602,2019-12-06,61,4
603,2020-05-14,17,6
604,2017-10-20,8,23
605,2020-12-12,70,37
606,2019-05-24,16,45
607,2020-03-04,46,19
608,2017-09-16,98,9
609,2018-09-04,23,16
610,2020-03-23,79,38
611,2020-08-18,88,50
612,2021-01-14,23,18
613,2020-05-08,59,22
614,2019-02-04,97,18
615,2019-12-22,71,2
616,2017-09-17,70,24
617,2018-12-07,86,44
618,2017-11-26,84,14
619,2017-07-09,12,21
620,2021-02-06,37,2
621,2021-04-11,10,11
622,2020-03-11,79,48
623,2019-10-24,67,49
624,2017-11-29,48,24
625,2017-10-10,34,39
626,2021-01-23,10,27
627,2020-06-05,16,34
628,2019-09-08,41,21
629,2020-11-07,62,46
630,2017-12-21,77,48
631,2021-05-22,29,45
632,2019-01-07,12,46
633,2021-07-08,67,33
634,2020-03-31,15,17
635,2019-12-30,81,48
636,2021-07-09,45,31
637,2020-06-08,76,23
638,2017-07-16,78,35
639,2020-04-03,22,41
640,2020-07-31,85,28
641,2018-10-13,61,7
642,2019-03-17,77,13
643,2018-01-28,18,26
644,2021-08-29,21,15
645,2021-10-21,100,35
646,2017-11-24,27,11
647,2021-05-28,36,35
648,2020-06-14,90,35
649,2020-10-26,64,48
650,2018-07-27,45,29
651,2021-08-18,16,12
652,2021-02-08,93,50
653,2020-11-07,65,34
654,2018-03-11,51,1
655,2021-02-19,23,40
656,2020-02-10,19,42
657,2021-05-06,7,10
658,2018-07-12,84,27
659,2020-04-13,32,32
660,2021-07-26,36,15
661,2019-03-02,23,38
662,2018-05-01,31,40
663,2019-08-09,89,21
664,2021-03-02,6,50
665,2019-09-24,9,34
666,2019-08-11,79,31
667,2019-10-06,4,46
668,2020-01-28,75,44
669,2019-08-13,66,16
670,2018-12-24,26,21
671,2019-12-09,20,7
672,2019-06-19,90,4
673,2021-05-20,15,26
674,2021-06-13,74,22
675,2020-07-17,92,31
676,2018-02-14,93,47
677,2020-09-06,62,48
678,2020-12-23,7,7
679,2018-03-15,89,14
680,2021-05-10,45,48
681,2020-11-03,41,16
682,2021-09-23,34,38
683,2018-04-24,1,33
684,2020-03-17,23,18
685,2017-09-28,98,2
686,2020-12-13,35,20
687,2018-03-03,30,10
688,2018-11-01,66,29
689,2018-06-27,79,47
690,2020-03-07,79,20
691,2018-07-09,98,7
692,2020-07-21,27,17
693,2020-04-13,46,20
694,2021-06-16,38,34
695,2021-06-15,40,45
696,2018-08-20,25,35
697,2021-05-22,61,2
698,2020-12-14,89,15
699,2018-04-24,57,18
700,2020-05-24,12,48
701,2017-09-04,88,20
702,2018-11-01,21,17
703,2018-10-12,61,34
704,2018-03-13,12,50
705,2017-07-20,68,19
706,2021-08-12,45,3
707,2020-06-18,45,15
708,2017-08-14,99,26
709,2019-10-08,55,32
710,2018-08-04,24,43
711,2021-10-06,77,5
712,2021-08-24,63,42
713,2021-10-16,92,7
714,2021-03-03,44,11
715,2020-12-02,22,2
716,2017-10-11,55,33
717,2019-10-26,8,19
718,2018-09-21,92,16
719,2021-04-22,75,19
720,2019-10-15,16,18
721,2020-06-26,94,10
722,2021-05-24,10,21
723,2018-01-19,22,35
724,2020-10-26,63,36
725,2017-11-29,62,19
726,2019-06-07,43,46
727,2019-02-27,88,6
728,2020-02-06,16,11
729,2019-04-12,39,34
730,2018-12-04,5,48
731,2017-12-28,83,14
732,2019-06-05,49,40
733,2019-11-08,70,26
734,2020-11-05,83,49
735,2019-07-13,65,13
736,2019-02-01,3,49
737,2020-11-04,10,5
738,2020-09-05,63,31
739,2021-02-05,27,48
740,2019-05-09,11,33
741,2021-01-29,91,33
742,2021-09-30,10,20
743,2018-04-23,89,34
744,2020-05-04,82,49
745,2017-12-06,43,20
746,2020-07-03,37,19
747,2021-02-08,42,18
748,2018-10-09,55,47
749,2017-10-16,19,44
750,2021-04-05,37,1
751,2020-01-30,43,40
752,2018-07-12,24,18
753,2021-08-10,83,1
754,2020-12-03,76,3
755,2018-01-27,79,32
756,2018-06-20,11,21
757,2018-09-02,99,17
758,2018-07-17,83,1
759,2018-06-04,24,16
760,2021-07-28,33,12
761,2018-07-14,11,30
762,2017-12-21,82,46
763,2019-07-02,8,26
764,2019-07-07,62,13
765,2020-11-26,59,33
766,2020-11-17,71,33
767,2020-11-25,12,15
768,2018-09-20,48,14
769,2019-01-30,8,5
770,2018-06-04,76,19
771,2018-11-28,74,12
772,2021-03-17,44,27
773,2018-04-08,83,43
774,2017-07-06,82,8
775,2018-09-10,10,43
776,2021-01-23,12,8
777,2020-07-06,3,8
778,2020-09-27,87,21
779,2017-12-19,91,36
780,2021-09-20,16,31
781,2020-04-13,24,48
782,2017-10-14,56,1
783,2020-01-26,27,15
784,2020-03-31,11,9
785,2018-12-20,63,19
786,2019-05-19,22,11
787,2020-07-14,13,46
788,2020-05-17,46,13
789,2021-10-11,6,48
790,2019-10-13,50,48
791,2019-10-14,69,25
792,2019-09-20,34,33
793,2021-01-09,41,5
794,2020-03-25,67,23
795,2020-02-22,22,35
796,2021-05-30,88,19
797,2021-05-12,3,33
798,2020-08-14,50,7
799,2020-05-13,64,45
800,2018-11-16,97,28
801,2019-09-01,16,12
802,2020-09-22,12,10
803,2019-07-18,52,48
804,2018-08-23,97,23
805,2018-03-09,38,38
806,2019-08-07,86,17
807,2021-06-10,60,8
808,2019-01-09,87,5
809,2018-09-10,21,1
810,2019-07-13,77,40
811,2018-12-24,97,22
812,2017-12-08,41,33
813,2020-10-15,11,15
814,2020-08-27,15,10
815,2017-11-11,7,16
816,2020-02-20,58,35
817,2020-09-21,86,33
818,2021-09-28,89,40
819,2018-05-20,3,41
820,2017-10-16,90,44
821,2019-01-21,25,27
822,2021-05-17,71,37
823,2021-05-29,51,38
824,2018-03-11,78,40
825,2020-11-28,94,28
826,2018-11-26,22,30
827,2020-11-27,69,17
828,2020-08-17,12,19
829,2019-08-23,5,1
830,2020-10-27,57,34
831,2020-03-22,84,24
832,2020-12-25,40,14
833,2019-05-22,30,18
834,2020-01-28,11,28
835,2019-09-10,45,21
836,2020-05-14,78,5
837,2018-03-31,40,18
838,2020-06-29,53,21
839,2019-03-20,83,40
840,2017-08-09,64,1
841,2019-11-15,31,22
842,2020-08-16,48,7
843,2017-11-26,39,47
844,2018-04-02,13,46
845,2018-02-01,23,48
846,2021-04-11,86,27
847,2021-01-21,31,20
848,2020-12-26,86,8
849,2018-09-05,75,18
850,2017-11-26,99,24
851,2017-09-15,8,39
852,2019-06-23,57,33
853,2021-04-15,53,15
854,2018-06-01,93,39
855,2017-11-13,93,12
856,2020-06-03,94,30
857,2021-04-03,28,24
858,2020-03-16,45,45
859,2017-07-06,32,11
860,2021-05-09,65,30
861,2020-06-16,21,20
862,2018-02-08,79,23
863,2020-10-12,93,39
864,2017-12-28,48,33
865,2021-01-03,87,18
866,2018-08-13,24,43
867,2021-05-24,1,48
868,2020-01-17,5,21
869,2020-10-11,54,27
870,2018-05-12,9,13
871,2021-01-29,75,4
872,2021-05-11,25,3
873,2019-03-24,36,42
874,2020-02-09,2,34
875,2019-04-21,16,12
876,2020-05-12,20,14
877,2017-10-23,73,13
878,2019-06-09,36,35
879,2019-04-21,1,1
880,2020-02-20,8,42
881,2018-12-07,67,19
882,2020-12-03,79,9
883,2021-05-14,55,29
884,2019-10-25,35,11
885,2019-08-03,23,23
886,2018-09-01,27,19
887,2020-02-11,94,32
888,2017-10-01,46,48
889,2018-04-20,25,13
890,2020-04-30,49,22
891,2017-07-20,45,48
892,2019-05-17,6,27
893,2017-12-14,28,12
894,2021-03-16,19,38
895,2018-12-31,83,26
896,2021-10-15,67,1
897,2021-01-04,79,29
898,2019-09-19,14,11
899,2018-09-14,24,5
900,2017-12-13,79,35
901,2020-03-20,16,16
902,2018-11-15,48,6
903,2021-01-03,53,19
904,2021-04-30,97,3
905,2019-01-01,36,45
906,2018-03-27,45,26
907,2020-01-29,76,38
908,2018-06-04,34,34
909,2021-08-30,27,38
910,2020-01-09,23,31
911,2021-09-30,29,14
912,2017-12-20,3,12
913,2017-08-19,45,28
914,2017-11-26,62,43
915,2019-06-23,62,40
916,2020-09-30,40,4
917,2020-03-09,62,6
918,2018-05-23,37,39
919,2021-02-03,72,44
920,2020-06-15,15,44
921,2019-09-17,54,49
922,2017-11-11,6,30
923,2021-10-25,24,33
924,2020-10-24,52,35
925,2018-01-08,1,16
926,2021-09-02,6,3
927,2017-08-31,8,50
928,2017-09-01,70,12
929,2020-09-04,20,1
930,2021-05-29,46,8
931,2020-01-06,51,8
932,2019-05-12,40,39
933,2019-07-14,95,33
934,2018-05-12,86,9
935,2018-10-19,47,44
936,2019-01-17,84,11
937,2018-08-22,75,21
938,2020-07-09,15,3
939,2019-09-19,33,39
940,2019-07-16,35,39
941,2021-08-07,71,5
942,2018-12-25,18,19
943,2019-08-25,6,45
944,2019-08-07,1,26
945,2018-02-16,64,18
946,2019-09-04,70,2
947,2021-05-22,45,35
948,2020-12-11,87,17
949,2017-10-16,66,32
950,2020-09-29,33,38
951,2018-12-07,10,32
952,2019-01-16,21,23
953,2018-01-18,73,38
954,2019-01-27,99,18
955,2017-10-02,64,12
956,2018-05-17,84,44
957,2019-05-19,2,6
958,2018-01-02,42,29
959,2020-09-18,66,34
960,2020-05-23,16,3
961,2020-12-03,4,2
962,2018-10-03,53,34
963,2020-11-23,23,44
964,2018-12-06,74,47
965,2019-01-13,45,23
966,2019-05-06,84,22
967,2017-09-09,13,29
968,2020-01-26,47,16
969,2019-03-14,65,35
970,2020-11-24,93,7
971,2018-11-11,32,43
972,2019-10-15,61,39
973,2018-10-19,91,24
974,2017-10-02,88,20
975,2018-05-08,6,22
976,2021-02-10,87,18
977,2017-11-11,1,40
978,2020-06-29,99,27
979,2020-02-14,69,20
980,2019-02-23,14,10
981,2018-02-18,51,13
982,2021-05-24,83,9
983,2021-01-31,58,47
984,2019-03-08,71,31
985,2017-12-23,27,33
986,2018-07-27,21,35
987,2019-08-17,61,47
988,2019-01-05,75,22
989,2017-09-12,93,48
990,2019-01-15,29,47
991,2020-01-08,36,41
992,2021-02-26,87,46
993,2020-01-13,1,6
994,2020-10-24,77,41
995,2019-09-24,12,4
996,2021-02-22,7,35
997,2018-11-12,2,17
998,2018-06-14,34,39
999,2019-10-08,28,15
1000,2019-03-16,10,34
